Split,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Micro_Precision,Micro_Recall,Micro_F1
Validation,0.9705180283931488,0.9708768327316581,0.9709224591006497,0.9708920377233267,0.9705180283931488,0.9705180283931488,0.9705180283931488
Test,0.9700154947862138,0.9700530103327292,0.9693252341115411,0.9696672211856455,0.9700154947862138,0.9700154947862138,0.9700154947862138
